StartDate,dataHour,green_energy_HU,green_energy_IT,green_energy_PO,green_energy_SP,green_energy_UK,green_energy_DE,green_energy_DK,green_energy_SE,green_energy_NE,load_HU,load_IT,load_PO,load_SP,load_UK,load_DE,load_DK,load_SE,load_NE
2022-01-01,00,1376,5745,4491,10827,0,157373,3605,11107,12768,16457,19756,13935,19530,1244,165125,3218,15331,40706
2022-01-01,01,1526,6228,4436,11140,0,151747,3309,11036,11131,15426,18685,13579,18383,1131,160415,3126,15270,39465
2022-01-01,02,1560,6407,4568,11361,0,147938,3043,10509,11324,14781,18124,13397,17680,1091,158035,3080,15150,38923
2022-01-01,03,1287,5760,4559,11247,0,141816,2852,10770,11290,14630,18400,13364,17396,969,157016,3044,15387,38211
2022-01-01,04,1309,5501,4374,10868,0,131970,2724,10852,11093,14688,19223,13449,17544,896,154552,3130,15737,38146
2022-01-01,05,1450,6226,4303,10935,0,129345,2579,11108,11028,14960,19738,13444,17866,871,154275,3238,16054,38956
2022-01-01,06,1627,7356,4370,11101,0,122836,2293,11757,10421,15034,20289,13527,17806,860,157356,3378,16455,39968
2022-01-01,07,2447,8637,4540,13339,0,117508,1806,11774,10565,15259,21469,14202,18533,922,163000,3537,16943,40808
2022-01-01,08,3597,9132,4402,16179,0,119089,1655,11668,11355,15551,22735,14851,20018,1017,171858,3714,17476,41742
2022-01-01,09,4205,9821,4266,17616,0,120971,1601,11407,13283,16045,23636,15643,20989,1095,179829,3818,17657,42796
2022-01-01,10,4331,10404,4014,17581,0,123192,1832,11124,14039,16500,24182,16235,21514,1232,188335,3893,17521,42494
2022-01-01,11,3845,10367,3571,17181,0,122314,1904,11016,14848,16966,23270,16712,22105,1351,188528,3943,17542,42294
2022-01-01,12,3026,9877,3103,16585,0,117152,2116,11134,15071,17195,22755,16874,22384,1508,184922,3915,17783,43153
2022-01-01,13,2129,7776,2656,16437,0,108819,2498,11616,15058,17488,22881,17032,21106,1653,182733,3988,18417,44379
2022-01-01,14,1517,7108,2368,14798,0,99704,3200,12137,14996,18052,23818,17715,20617,1682,183467,4213,18620,45865
2022-01-01,15,1419,8807,2427,11888,0,107104,3771,12574,14620,19157,26742,17887,21096,1671,195571,4473,18778,48406
2022-01-01,16,1427,9000,2133,11040,0,117785,4339,12930,15599,19169,27672,17929,23211,1741,207259,4407,18621,52021
2022-01-01,17,1287,9276,1990,11483,0,126662,4792,13225,16211,19117,28393,17898,24435,1977,208694,4133,17942,51429
2022-01-01,18,1154,8514,1944,11812,0,131402,5052,13667,16206,19077,27996,17594,24964,2083,203720,3970,17481,49999
2022-01-01,19,1163,7418,1715,11974,0,129423,5097,14060,15302,18695,26693,16972,25189,1925,196041,3821,17048,47940
2022-01-01,20,1108,5956,1625,11616,0,131258,4892,14106,14103,18142,24635,16426,24134,1801,191635,3619,16461,46052
2022-01-01,21,1021,5111,1393,11279,0,132964,4747,14048,13678,17310,22404,15411,22552,1691,187527,3462,16048,44113
2022-01-01,22,999,5044,1765,10740,0,133780,4078,13242,14029,16380,20428,14480,21048,1534,176366,3351,15924,42275
2022-01-01,23,964,5319,2295,10412,0,143879,3960,12753,14210,15480,18989,13833,19473,1385,170078,3173,15328,41053
2022-01-02,00,893,5291,2740,10138,0,144602,3959,12567,15019,14901,18083,13451,18375,626,164923,3128,15037,39562
2022-01-02,01,734,5514,3180,10175,0,142061,3732,11610,15174,14342,17740,13267,17841,0,162519,3093,14770,38687
2022-01-02,02,645,5613,3607,10124,0,142190,3817,11090,15153,14142,17737,13326,17539,525,162753,3063,14706,38236
2022-01-02,03,674,5213,3775,9878,0,139441,3814,10852,15239,14436,18409,13714,17684,1008,163004,3149,14752,38283
2022-01-02,04,842,5063,3982,9438,0,137755,3700,10842,15262,15008,19869,14230,18353,971,162453,3260,15202,38979
2022-01-02,05,971,4843,4006,8995,0,133409,3663,11601,15201,16122,21148,14542,19223,942,162596,3455,15916,40264
2022-01-02,06,1106,5736,4155,8929,0,141328,3639,11959,15936,16881,22332,14960,19936,948,171915,3722,16545,42237
2022-01-02,07,1921,6963,4655,10299,0,150776,3497,12765,16315,17859,23775,15855,21531,1010,185202,3905,16960,44702
2022-01-02,08,3141,8390,5087,12463,0,160678,3341,12943,16895,18359,24697,16709,23286,1119,195494,4097,17299,46562
2022-01-02,09,3862,9409,5309,13781,0,173788,2977,12812,16866,18526,25360,17032,24126,1241,205032,4167,17428,46441
2022-01-02,10,3976,10099,5460,14397,0,186025,2635,12770,17041,18846,26123,17414,24202,1420,216802,4198,17553,47998
2022-01-02,11,3617,10019,5319,14453,0,192390,2180,12616,17307,18756,25308,18006,24673,1562,217096,4212,17792,48585
2022-01-02,12,2666,8622,4891,14131,0,194469,2213,12555,17072,18838,24751,17914,24921,1678,212695,4191,17912,47660
2022-01-02,13,1606,7313,4986,13637,0,193423,2494,12521,16696,19191,24918,18024,23869,1770,210911,4301,18077,47919
2022-01-02,14,920,6958,5540,11678,0,194282,3073,12380,16590,19941,26049,18627,23258,1747,214431,4521,18265,48988
2022-01-02,15,776,9467,6536,8699,0,196760,3578,12366,15779,21433,28970,18737,23642,1719,225625,4873,18541,51783
2022-01-02,16,769,9812,7031,7941,0,197928,4189,12191,15979,21539,30088,18753,25965,1803,235222,4735,18424,55587
2022-01-02,17,720,9869,6948,9205,0,200611,4797,11929,15629,21399,30781,18774,27307,2088,234292,4433,18010,54121
2022-01-02,18,747,9444,6649,9599,0,198091,4885,11763,15862,21157,29662,18378,28243,2184,227205,4183,17305,52577
2022-01-02,19,790,7493,6557,9242,0,196430,4728,11015,16002,20457,27563,17527,28062,1973,216385,3974,16546,50705
2022-01-02,20,832,7247,6614,8557,0,187778,4382,10974,16371,19465,25326,16897,26650,1794,208694,3769,16269,48614
