index,mapped_country_code
2022010100,3
2022010101,3
2022010102,9
2022010103,9
2022010104,9
2022010105,9
2022010106,1
2022010107,9
2022010108,9
2022010109,9
2022010110,9
2022010111,9
2022010112,9
2022010113,9
2022010114,9
2022010115,9
2022010116,9
2022010117,3
2022010118,3
2022010119,3
2022010120,3
2022010121,3
2022010122,3
2022010123,3
2022010200,3
2022010201,3
2022010202,3
2022010203,3
2022010204,3
2022010205,3
2022010206,9
2022010207,9
2022010208,9
2022010209,9
2022010210,9
2022010211,9
2022010212,9
2022010213,9
2022010214,9
2022010215,9
2022010216,9
2022010217,3
2022010218,3
2022010219,3
2022010220,3
2022010221,3
2022010222,3
2022010223,3
2022010300,9
2022010301,3
2022010302,3
2022010303,3
2022010304,3
2022010305,3
2022010306,3
2022010307,3
2022010308,3
2022010309,3
2022010310,3
2022010311,3
2022010312,3
2022010313,3
2022010314,3
2022010315,3
2022010316,3
2022010317,3
2022010318,3
2022010319,3
2022010320,3
2022010321,9
2022010322,9
2022010323,9
2022010400,9
2022010401,9
2022010402,9
2022010403,9
2022010404,9
2022010405,9
2022010406,9
2022010407,9
2022010408,9
2022010409,9
2022010410,9
2022010411,9
2022010412,9
2022010413,9
2022010414,9
2022010415,9
2022010416,9
2022010417,9
2022010418,3
2022010419,3
2022010420,3
2022010421,3
2022010422,3
2022010423,3
2022010500,3
2022010501,3
2022010502,3
2022010503,3
2022010504,3
2022010505,9
2022010506,9
2022010507,9
2022010508,9
2022010509,9
2022010510,9
2022010511,9
2022010512,9
2022010513,9
2022010514,9
2022010515,9
2022010516,9
2022010517,9
2022010518,9
2022010519,9
2022010520,9
2022010521,9
2022010522,9
2022010523,9
2022010600,1
2022010601,1
2022010602,1
2022010603,1
2022010604,9
2022010605,9
2022010606,1
2022010607,1
2022010608,9
2022010609,9
2022010610,9
2022010611,9
2022010612,9
2022010613,9
2022010614,9
2022010615,9
2022010616,9
2022010617,9
2022010618,9
2022010619,9
2022010620,9
2022010621,9
2022010622,3
2022010623,3
2022010700,3
2022010701,3
2022010702,3
2022010703,3
2022010704,3
2022010705,3
2022010706,9
2022010707,9
2022010708,9
2022010709,9
2022010710,9
2022010711,9
2022010712,9
2022010713,9
2022010714,9
2022010715,9
2022010716,9
2022010717,9
2022010718,9
2022010719,9
2022010720,9
2022010721,9
2022010722,9
2022010723,9
2022010800,9
2022010801,3
2022010802,9
2022010803,3
2022010804,3
2022010805,3
2022010806,3
2022010807,3
2022010808,9
2022010809,9
2022010810,9
2022010811,9
2022010812,9
2022010813,9
2022010814,9
2022010815,9
2022010816,9
2022010817,9
2022010818,9
2022010819,9
2022010820,3
2022010821,3
2022010822,3
2022010823,3
2022010900,3
2022010901,3
2022010902,0
2022010903,0
2022010904,3
2022010905,3
2022010906,3
2022010907,9
2022010908,9
2022010909,9
2022010910,9
2022010911,9
2022010912,9
2022010913,0
2022010914,0
2022010915,9
2022010916,9
2022010917,9
2022010918,9
2022010919,9
2022010920,9
2022010921,9
2022010922,9
2022010923,9
2022011000,9
2022011001,9
2022011002,9
2022011003,9
2022011004,9
2022011005,9
2022011006,9
2022011007,9
2022011008,9
2022011009,9
2022011010,9
2022011011,9
2022011012,9
2022011013,9
2022011014,9
2022011015,9
2022011016,9
2022011017,9
2022011018,9
2022011019,9
2022011020,9
2022011021,9
2022011022,9
2022011023,9
2022011100,9
2022011101,9
2022011102,9
2022011103,9
2022011104,9
2022011105,9
2022011106,9
2022011107,9
2022011108,9
2022011109,9
2022011110,9
2022011111,9
2022011112,9
2022011113,9
2022011114,9
2022011115,9
2022011116,9
2022011117,9
2022011118,9
2022011119,9
2022011120,9
2022011121,9
2022011122,9
2022011123,9
2022011200,9
2022011201,9
2022011202,9
2022011203,9
2022011204,9
2022011205,1
2022011206,1
2022011207,9
2022011208,9
2022011209,9
2022011210,9
2022011211,9
2022011212,9
2022011213,9
2022011214,9
2022011215,9
2022011216,9
2022011217,9
2022011218,3
2022011219,3
2022011220,3
2022011221,3
2022011222,3
2022011223,3
2022011300,3
2022011301,3
2022011302,3
2022011303,3
2022011304,3
2022011305,3
2022011306,9
2022011307,3
2022011308,3
2022011309,3
2022011310,3
2022011311,3
2022011312,3
2022011313,3
2022011314,3
2022011315,3
2022011316,3
2022011317,3
2022011318,3
2022011319,3
2022011320,3
2022011321,3
2022011322,3
2022011323,3
2022011400,3
2022011401,3
2022011402,3
2022011403,3
2022011404,3
2022011405,9
2022011406,9
2022011407,9
2022011408,9
2022011409,9
2022011410,9
2022011411,9
2022011412,9
2022011413,9
2022011414,9
2022011415,9
2022011416,9
2022011417,9
2022011418,9
2022011419,9
2022011420,9
2022011421,9
2022011422,9
2022011423,9
2022011500,9
2022011501,9
2022011502,9
2022011503,9
2022011504,9
2022011505,9
2022011506,9
2022011507,9
2022011508,9
2022011509,9
2022011510,9
2022011511,9
2022011512,9
2022011513,9
2022011514,9
2022011515,9
2022011516,9
2022011517,9
2022011518,9
2022011519,9
2022011520,9
2022011521,9
2022011522,9
2022011523,3
2022011600,3
2022011601,3
2022011602,3
2022011603,3
2022011604,3
2022011605,9
2022011606,9
2022011607,9
2022011608,9
2022011609,3
2022011610,3
2022011611,3
2022011612,3
2022011613,3
2022011614,3
2022011615,3
2022011616,3
2022011617,3
2022011618,3
2022011619,3
2022011620,3
2022011621,3
2022011622,3
2022011623,3
2022011700,3
2022011701,3
2022011702,3
2022011703,3
2022011704,3
2022011705,3
2022011706,3
2022011707,3
2022011708,3
2022011709,3
2022011710,3
2022011711,3
2022011712,3
2022011713,3
2022011714,9
2022011715,9
2022011716,9
2022011717,9
2022011718,9
2022011719,9
2022011720,9
2022011721,9
2022011722,9
2022011723,9
2022011800,9
2022011801,9
2022011802,9
2022011803,9
2022011804,9
2022011805,9
2022011806,9
2022011807,9
2022011808,9
2022011809,9
2022011810,9
2022011811,9
2022011812,9
2022011813,9
2022011814,9
2022011815,9
2022011816,9
2022011817,9
2022011818,9
2022011819,3
2022011820,3
2022011821,3
2022011822,3
2022011823,3
2022011900,3
2022011901,3
2022011902,3
2022011903,3
2022011904,3
2022011905,3
2022011906,3
2022011907,3
2022011908,3
2022011909,3
2022011910,3
2022011911,3
2022011912,3
2022011913,3
2022011914,3
2022011915,3
2022011916,3
2022011917,3
2022011918,3
2022011919,3
2022011920,3
2022011921,3
2022011922,3
2022011923,3
