StartDate,dataHour,green_energy_HU,green_energy_IT,green_energy_PO,green_energy_SP,green_energy_UK,green_energy_DE,green_energy_DK,green_energy_SE,green_energy_NE,load_HU,load_IT,load_PO,load_SP,load_UK,load_DE,load_DK,load_SE,load_NE
2022-10-23,18,785,7011,2257,55556,0,144035,2591,11295,14980,18529,26764,17628,103408,0,194386,3478,14046,46947
2022-11-09,11,2926,9081,4464,56224,2164,195079,4060,13817,17716,22319,36617,22413,114632,0,260802,4281,16347,49090
2022-02-24,20,1173,5200,6998,14639,1978,191367,4608,14521,15410,23419,33448,20688,29884,2435,262260,4607,18315,54847
2022-09-16,16,689,12448,5023,85596,0,166930,2186,11326,15827,20848,40887,21678,117496,0,239836,3776,13473,50722
2022-04-04,22,1194,4011,7574,14478,0,192235,5331,11934,9433,20036,25838,18015,24499,1285,219474,3661,15978,43659
2022-10-18,22,953,4067,3992,46852,0,81373,1899,10760,3570,17031,24731,16205,91900,0,178748,3035,11765,41808
2022-03-04,10,5108,12356,3445,21619,644,147007,2571,13104,3883,23612,40125,25536,32629,2367,284295,4765,18624,39819
2022-02-17,17,1767,10337,7646,10868,847,221474,5661,15316,15254,25582,43748,23809,32939,2448,296517,5138,20995,62542
2022-12-05,9,2458,10898,2774,50256,592,77981,3701,14543,8779,23828,40108,25164,126132,0,279559,5046,20348,63150
2022-01-29,3,1436,8671,3633,7646,2345,183486,4557,12975,16367,19175,26489,17987,23341,1079,205015,3634,16002,42772
2022-03-02,0,869,7920,922,9660,2674,48511,1094,12816,2285,20038,26290,18577,23160,1480,206847,3655,16014,42255
2022-11-08,22,1271,3910,4871,44380,2328,154012,3705,9772,15535,18822,25752,17055,95344,0,197426,3308,13296,44075
2022-08-08,23,746,5357,736,40184,0,58711,478,8966,3056,15589,25744,15372,97952,0,165607,2872,10121,41723
2022-02-20,12,4193,12861,5128,20430,3818,243270,5675,13135,16372,19268,25764,18491,26271,999,232647,4662,18178,52185
2022-02-20,8,4490,10298,5429,15273,2938,196006,4648,13621,16467,20037,27922,18561,25864,1208,220183,4342,18932,48909
2022-03-13,19,1584,4627,4770,11639,3013,133365,3848,13208,10056,21821,30431,18913,28465,2115,217791,4039,16556,49291
2022-08-13,22,848,4463,1815,42640,0,62072,794,9018,5922,14918,22239,14113,99136,0,152748,2811,10697,44119
2022-11-19,13,1111,9841,1973,105384,3241,66612,2958,13069,5629,20989,28871,22000,102240,0,210278,4125,17894,46753
2022-08-04,15,3125,13395,3050,91068,0,113223,2214,11611,2395,21680,44640,21347,136348,0,237087,4238,12544,44952
2022-08-20,8,3018,16221,4056,63724,0,94776,2098,11166,2413,17231,27307,20220,101416,0,201702,3705,13210,32480
2022-04-17,22,911,8983,1465,12798,0,88720,968,8304,11504,15425,19324,13338,19138,1257,156729,3094,13265,40392
2022-01-13,14,1076,10557,6983,14427,0,135115,5499,16066,6039,26757,44030,25750,32625,2512,292216,5272,20141,62985
2022-04-12,1,903,3623,829,14233,0,110336,1392,10873,8792,18143,24637,18365,21422,1257,190842,3565,15906,39422
2022-11-13,8,3927,9277,1831,50788,1456,105040,967,11413,2279,18142,26470,17748,84528,0,186951,3566,14570,37295
2022-10-19,14,2627,6904,3106,73044,0,75073,461,12059,10073,20550,35897,21812,114820,0,229819,4192,15730,46289
2022-04-05,14,3451,9001,5962,11815,0,131097,4783,14424,10380,22096,36661,23419,31359,2077,267845,4784,18605,54754
2022-06-30,4,1719,10194,2943,28340,0,71202,1162,9553,3684,21190,39138,21108,101024,1240,219292,4113,13341,44357
2022-04-14,13,6228,13054,3723,17207,0,143018,2450,11529,2640,18766,36378,21976,22690,2052,242174,3821,17393,39313
2022-07-13,18,726,8766,3647,49316,0,107100,3732,12280,3234,21991,40601,20947,139080,1630,230135,3261,12608,52284
2022-02-11,19,1495,4979,4621,8208,3452,73457,2603,15385,582,24081,37605,22094,33036,2312,263157,4219,18392,57940
2022-12-02,19,848,5947,1235,35536,90,97841,3053,11992,14910,23339,35630,22898,132024,0,246137,4059,16527,56939
2022-05-09,8,6481,15336,6207,17959,0,158261,2829,11866,1709,18667,36524,20755,28368,2015,259280,4388,15017,36895
2022-01-22,0,1395,8009,4009,15860,0,162733,1895,12144,7275,20615,26408,18367,25041,1508,216226,3687,17329,43972
2022-01-11,7,1963,15726,1147,15045,0,74603,3686,14703,6305,26257,46355,26075,33469,1722,288992,5498,21983,64084
2022-06-19,15,3702,10105,6340,104124,0,138848,1405,10659,3092,18272,32168,17141,102700,1432,194011,3530,13016,41228
2022-04-28,19,1306,8746,1086,12614,0,58861,1888,11055,6242,21395,32217,20767,28358,1995,229867,3689,15219,51225
2022-01-29,11,4309,18975,7257,15448,3502,219792,5566,14741,17629,22863,32569,22631,29794,1961,262314,4623,18864,50494
2022-12-09,13,1017,12493,1147,52944,422,52611,1550,13863,1471,24989,35630,25353,118968,0,262413,4531,20735,60012
2022-04-01,17,1477,11905,6158,18615,632,150108,2854,11759,16466,23732,38470,23999,30220,2155,273659,4292,18266,55455
2022-02-25,12,4191,12260,7431,19549,1598,237728,5922,14646,15361,22823,38867,23464,31921,2456,288992,5082,18939,49380
2022-10-19,2,1245,4785,3737,52848,0,71650,960,11041,5829,16231,25495,16975,85496,0,179871,3074,12165,39470
2022-11-29,10,2664,9950,3426,86252,166,58376,2400,13140,1728,24003,40999,25111,122924,0,269986,4779,18184,56946
2022-08-19,3,955,6676,2820,41208,0,48890,615,10603,2434,17348,24414,18689,87524,0,185853,3651,12330,43759
2022-05-13,5,2469,15229,3681,11202,0,113575,2371,12148,11804,20845,37579,21206,28121,1402,250520,3542,15287,46203
2022-01-10,16,1208,14126,2385,18223,0,50033,2497,13201,2057,26660,45510,25776,33498,2402,293299,5485,22806,66666
2022-08-31,9,7417,14845,5921,63792,0,133408,1964,12147,13207,19162,40696,22029,126936,0,253092,4371,14619,34699
2022-12-09,7,1079,12731,1473,44380,454,65335,1863,13791,1574,24759,36141,25305,111604,0,272827,4959,21016,62549
2022-09-18,17,1063,7635,3098,42024,0,150300,2330,10807,15004,19658,30113,18153,96352,0,200803,3553,13069,49463
2022-04-04,7,4533,11334,10139,20924,0,242439,5825,13277,15510,21937,40376,23336,33717,2032,284159,5367,19473,57025
2022-08-20,17,806,11498,2009,54652,0,65987,903,10040,3793,17275,31017,19484,107724,0,182407,3364,12424,43968
2022-04-05,7,4643,13767,8473,15210,0,150429,5021,14183,7901,22419,40554,24050,34794,2116,287549,4921,19776,56577
2022-06-17,18,1048,10538,2015,42416,0,83121,2716,11235,8919,21144,40164,18739,134584,1690,204299,2869,11866,50402
2022-08-16,8,7088,16196,5561,70032,0,152525,1895,12313,2827,19023,29990,22633,111896,0,243207,4718,14956,39438
