index,diff_HU,diff_IT,diff_PO,diff_SP,diff_UK,diff_DE,diff_DK,diff_SE,diff_NE,max_diff_char,max_diff_value,mapped_country_code
2022010100,-15081,-14011.0,-9444.0,-8703,-379.0,-7752,387.0,-4224.0,-27938,DK,387.0,3
2022010101,-13900,-12457.0,-9143.0,-7243,-266.0,-8668,183.0,-4234.0,-28334,DK,183.0,3
2022010102,-13221,-11717.0,-8829.0,-6319,-226.0,-10097,-37.0,-4641.0,-27599,DK,-37.0,9
2022010103,-13343,-12640.0,-8805.0,-6149,-104.0,-15200,-192.0,-4617.0,-26921,UK,-104.0,9
2022010104,-13379,-13722.0,-9075.0,-6676,-31.0,-22582,-406.0,-4885.0,-27053,UK,-31.0,9
2022010105,-13510,-13512.0,-9141.0,-6931,-6.0,-24930,-659.0,-4946.0,-27928,UK,-6.0,9
2022010106,-13407,-12933.0,-9157.0,-6705,5.0,-34520,-1085.0,-4698.0,-29547,UK,5.0,1
2022010107,-12812,-12832.0,-9662.0,-5194,-57.0,-45492,-1731.0,-5169.0,-30243,UK,-57.0,9
2022010108,-11954,-13603.0,-10449.0,-3839,-152.0,-52769,-2059.0,-5808.0,-30387,UK,-152.0,9
2022010109,-11840,-13815.0,-11377.0,-3373,-230.0,-58858,-2217.0,-6250.0,-29513,UK,-230.0,9
2022010110,-12169,-13778.0,-12221.0,-3933,-367.0,-65143,-2061.0,-6397.0,-28455,UK,-367.0,9
2022010111,-13121,-12903.0,-13141.0,-4924,-486.0,-66214,-2039.0,-6526.0,-27446,UK,-486.0,9
2022010112,-14169,-12878.0,-13771.0,-5799,-643.0,-67770,-1799.0,-6649.0,-28082,UK,-643.0,9
2022010113,-15359,-15105.0,-14376.0,-4669,-788.0,-73914,-1490.0,-6801.0,-29321,UK,-788.0,9
2022010114,-16535,-16710.0,-15347.0,-5819,-817.0,-83763,-1013.0,-6483.0,-30869,UK,-817.0,9
2022010115,-17738,-17935.0,-15460.0,-9208,-806.0,-88467,-702.0,-6204.0,-33786,DK,-702.0,9
2022010116,-17742,-18672.0,-15796.0,-12171,-876.0,-89474,-68.0,-5691.0,-36422,DK,-68.0,9
2022010117,-17830,-19117.0,-15908.0,-12952,-1112.0,-82032,659.0,-4717.0,-35218,DK,659.0,3
2022010118,-17923,-19482.0,-15650.0,-13152,-1218.0,-72318,1082.0,-3814.0,-33793,DK,1082.0,3
2022010119,-17532,-19275.0,-15257.0,-13215,-1060.0,-66618,1276.0,-2988.0,-32638,DK,1276.0,3
2022010120,-17034,-18679.0,-14801.0,-12518,-936.0,-60377,1273.0,-2355.0,-31949,DK,1273.0,3
2022010121,-16289,-17293.0,-14018.0,-11273,-826.0,-54563,1285.0,-2000.0,-30435,DK,1285.0,3
2022010122,-15381,-15384.0,-12715.0,-10308,-669.0,-42586,727.0,-2682.0,-28246,DK,727.0,3
2022010123,-14516,-13670.0,-11538.0,-9061,-520.0,-26199,787.0,-2575.0,-26843,DK,787.0,3
2022010200,-14008,-12792.0,-10711.0,-8237,239.0,-20321,831.0,-2470.0,-24543,DK,831.0,3
2022010201,-13608,-12226.0,-10087.0,-7666,289.5,-20458,639.0,-3160.0,-23513,DK,639.0,3
2022010202,-13497,-12124.0,-9719.0,-7415,340.0,-20563,754.0,-3616.0,-23083,DK,754.0,3
2022010203,-13762,-13196.0,-9939.0,-7806,-143.0,-23563,665.0,-3900.0,-23044,DK,665.0,3
2022010204,-14166,-14806.0,-10248.0,-8915,-106.0,-24698,440.0,-4360.0,-23717,DK,440.0,3
2022010205,-15151,-16305.0,-10536.0,-10228,-77.0,-29187,208.0,-4315.0,-25063,DK,208.0,3
2022010206,-15775,-16596.0,-10805.0,-11007,-83.0,-30587,-83.0,-4586.0,-26301,UK,-83.0,9
2022010207,-15938,-16812.0,-11200.0,-11232,-145.0,-34426,-408.0,-4195.0,-28387,UK,-145.0,9
2022010208,-15218,-16307.0,-11622.0,-10823,-254.0,-34816,-756.0,-4356.0,-29667,UK,-254.0,9
2022010209,-14664,-15951.0,-11723.0,-10345,-376.0,-31244,-1190.0,-4616.0,-29575,UK,-376.0,9
2022010210,-14870,-16024.0,-11954.0,-9805,-555.0,-30777,-1563.0,-4783.0,-30957,UK,-555.0,9
2022010211,-15139,-15289.0,-12687.0,-10220,-697.0,-24706,-2032.0,-5176.0,-31278,UK,-697.0,9
